,movie,year,imdb_rate,metascore,votes,rating,genre,runtime_min,grosess
507,Logan's Run,1976,6.8,53,"59,648",PG,"['Action', ' Adventure', ' Sci-Fi']",119,$25.00M
508,Journey to the Center of the Earth,2008,5.8,57,"128,847",PG,"['Action', ' Adventure', ' Family']",93,$101.70M
509,THX 1138,1971,6.7,75,"53,664",R,"['Drama', ' Sci-Fi', ' Thriller']",86,$2.44M
510,Strange World,2022,5.7,65,"43,059",PG,"['Animation', ' Action', ' Adventure']",102,-
511,Replicas,2018,5.4,19,"41,023",PG-13,"['Action', ' Drama', ' Sci-Fi']",107,$4.05M
512,The Circle,2017,5.3,43,"97,766",PG-13,"['Drama', ' Mystery', ' Sci-Fi']",110,$20.50M
513,The Purge: Anarchy,2014,6.4,50,"159,105",R,"['Action', ' Horror', ' Sci-Fi']",103,$71.96M
514,Bolt,2008,6.8,67,"223,214",PG,"['Animation', ' Adventure', ' Comedy']",96,$114.05M
515,Happy Death Day 2U,2019,6.2,57,"82,011",PG-13,"['Comedy', ' Horror', ' Mystery']",100,$28.15M
516,I Am Number Four,2011,6.1,36,"243,598",PG-13,"['Action', ' Adventure', ' Sci-Fi']",111,$55.10M
517,The Chronicles of Riddick,2004,6.6,38,"238,226",R,"['Action', ' Adventure', ' Sci-Fi']",119,$57.76M
518,Scanners,1981,6.7,60,"59,884",R,"['Horror', ' Sci-Fi', ' Thriller']",103,$14.23M
519,The League of Extraordinary Gentlemen,2003,5.8,30,"181,505",PG-13,"['Action', ' Adventure', ' Fantasy']",110,$66.47M
520,Rampage,2018,6.1,45,"180,052",PG-13,"['Action', ' Adventure', ' Sci-Fi']",107,$101.03M
521,Mystery Men,1999,6.1,65,"69,676",PG-13,"['Action', ' Comedy', ' Fantasy']",121,$29.76M
522,Despicable Me 3,2017,6.2,49,"146,967",PG,"['Animation', ' Adventure', ' Comedy']",89,$264.62M
523,Superman II,1980,6.8,83,"112,496",PG,"['Action', ' Adventure', ' Sci-Fi']",127,$108.19M
524,The Postman,1997,6.1,29,"76,768",R,"['Action', ' Adventure', ' Drama']",177,$17.63M
525,Innerspace,1987,6.8,66,"63,715",PG,"['Action', ' Adventure', ' Comedy']",120,$25.89M
526,The Host,2006,7.1,85,"129,241",R,"['Drama', ' Horror', ' Sci-Fi']",120,$2.20M
527,Pulse,2001,6.5,70,"24,034",R,"['Horror', ' Mystery', ' Sci-Fi']",119,$0.05M
528,Fantastic Four,2015,4.3,27,"173,357",PG-13,"['Action', ' Adventure', ' Sci-Fi']",100,$56.12M
529,Forbidden Planet,1956,7.5,80,"51,908",G,"['Adventure', ' Sci-Fi']",98,$3.00M
530,The Matrix Revolutions,2003,6.7,47,"532,671",R,"['Action', ' Sci-Fi']",129,$139.31M
531,Swamp Thing,1982,5.3,50,"15,653",PG,"['Horror', ' Sci-Fi']",91,-
532,Flight of the Navigator,1986,6.9,64,"50,651",PG,"['Adventure', ' Comedy', ' Family']",90,$18.56M
533,Predator 2,1990,6.3,46,"177,765",R,"['Action', ' Horror', ' Sci-Fi']",108,$30.67M
534,Star Trek II: The Wrath of Khan,1982,7.7,68,"127,052",PG,"['Action', ' Adventure', ' Sci-Fi']",113,$78.91M
535,Mighty Morphin Power Rangers,1995,5.2,40,"29,469",PG,"['Action', ' Adventure', ' Family']",95,$38.19M
